group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatecheck,raw,3728,0.214,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dataset,hatecheck,pii_mask,3728,0.210244,0.028702,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dataset,hatecheck,pii_quasi_mask,3728,0.256958,0.054185,100.0,100.0,1.0,1.0,1.0,0.559419,1.0,1.0,0.701149,
dataset,hatecheck,importance_only,3728,0.257195,0.128755,19.431,18.199,0.729947,0.85119,0.333771,0.112342,0.181818,0.353591,0.076628,
dataset,hatecheck,importance_window,3728,0.292622,0.0853,57.694,52.537,0.887215,0.952381,0.720105,0.338938,0.818182,0.762431,0.37931,
dataset,hatecheck,icem_context,3728,0.246611,0.056867,66.55,60.647,0.997198,0.994048,0.986859,0.546427,1.0,0.994475,0.681992,
functionality,counter_quote_nh,raw,173,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,counter_quote_nh,pii_mask,173,0.0,0.028902,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,counter_quote_nh,pii_quasi_mask,173,0.0,0.063584,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,counter_quote_nh,importance_only,173,0.0,0.271676,15.161,14.995,0.588235,0.842105,0.150943,0.138728,,0.193548,0.052632,
functionality,counter_quote_nh,importance_window,173,0.0,0.184971,50.173,46.519,0.803922,0.894737,0.45283,0.901734,,0.516129,0.710526,
functionality,counter_quote_nh,icem_context,173,0.0,0.080925,67.833,62.765,1.0,0.973684,0.981132,1.0,,0.967742,0.973684,
functionality,counter_ref_nh,raw,141,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,counter_ref_nh,pii_mask,141,0.0,0.014184,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,counter_ref_nh,pii_quasi_mask,141,0.0,0.021277,100.0,100.0,1.0,1.0,1.0,0.66,,1.0,0.740741,
functionality,counter_ref_nh,importance_only,141,0.0,0.340426,15.887,15.229,0.532787,0.666667,0.264151,0.09,,0.185185,0.259259,
functionality,counter_ref_nh,importance_window,141,0.0,0.141844,51.323,47.936,0.942623,0.878788,0.509434,0.38,,0.888889,0.444444,
functionality,counter_ref_nh,icem_context,141,0.0,0.049645,62.549,57.83,1.0,0.969697,1.0,0.63,,1.0,0.740741,
functionality,derog_dehum_h,raw,140,0.271605,0.0,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,derog_dehum_h,pii_mask,140,0.323353,0.035714,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,derog_dehum_h,pii_quasi_mask,140,0.409091,0.114286,100.0,100.0,1.0,1.0,1.0,0.5,,1.0,0.5,
functionality,derog_dehum_h,importance_only,140,0.333333,0.114286,19.173,19.686,0.639706,1.0,0.142857,0.04,,0.5,0.0,
functionality,derog_dehum_h,importance_window,140,0.444444,0.128571,60.385,54.194,0.897059,1.0,0.285714,0.28,,1.0,0.0,
functionality,derog_dehum_h,icem_context,140,0.381503,0.092857,70.152,63.026,1.0,1.0,1.0,0.5,,1.0,0.5,
functionality,derog_impl_h,raw,140,0.055556,0.0,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,derog_impl_h,pii_mask,140,0.082192,0.028571,100.0,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,
functionality,derog_impl_h,pii_quasi_mask,140,0.082192,0.028571,100.0,100.0,1.0,1.0,1.0,0.526316,,1.0,0.75,
